Deliverable ID,Deliverable Name,Category,Division,Phase,Owner,Due Date,Status,Approved By,Approval Date,Location / Link,Notes
DLV-001,Engagement Charter,Governance,All,Initiation,Albert Ibe,2024-01-15,Completed,Director CIO,2024-01-15,/00-engagement-overview/engagement-charter.md,Signed by all division leads
DLV-002,LSS Project Charter + SIPOC,LSS - Define,All,Define,Albert Ibe,2024-01-31,Completed,Director CIO,2024-01-31,/04-lean-six-sigma/define/project-charter-lss.md,Includes VOC and CTQ tree
DLV-003,Stakeholder Register,PM,All,Initiation,Albert Ibe,2024-01-20,Completed,Albert Ibe,2024-01-20,/01-project-management/registers/stakeholder-register.csv,18 stakeholders documented
DLV-004,Risk Register (Initial),PM,All,Initiation,Albert Ibe,2024-01-20,Completed,Albert Ibe,2024-01-20,/01-project-management/registers/risk-register.csv,12 initial risks identified; updated monthly
DLV-005,Communication Plan,PM,All,Initiation,Albert Ibe,2024-01-25,Completed,Director CIO,2024-01-25,/01-project-management/plans/communication-plan.md,
DLV-006,Program Governance Model,Governance,All,Initiation,Albert Ibe,2024-01-31,Completed,Director CIO,2024-01-31,/01-project-management/governance/program-governance-model.md,Steering committee established
DLV-007,Data Collection Plan,LSS - Measure,All,Measure,Albert Ibe,2024-02-15,Completed,Albert Ibe,2024-02-15,/04-lean-six-sigma/measure/measurement-plan.md,9 data sources; MSA completed
DLV-008,Measurement System Analysis (MSA),LSS - Measure,All,Measure,Albert Ibe,2024-02-28,Completed,Albert Ibe,2024-02-28,/04-lean-six-sigma/measure/measurement-plan.md,SAP HCM flagged for remediation
DLV-009,Baseline Metrics Report — Water Services,LSS - Measure,Water,Measure,Albert Ibe,2024-02-28,Completed,Manager Water,2024-02-29,/04-lean-six-sigma/measure/measurement-plan.md,Baseline sigma = 1.8
DLV-010,Baseline Metrics Report — MLS,LSS - Measure,MLS,Measure,Albert Ibe,2024-02-28,Completed,Manager MLS,2024-02-29,/04-lean-six-sigma/measure/measurement-plan.md,Baseline sigma = 2.1
DLV-011,Baseline Metrics Report — HR Analytics,LSS - Measure,HR,Measure,Albert Ibe,2024-02-28,Completed,Director HR,2024-02-29,/04-lean-six-sigma/measure/measurement-plan.md,HRIS data quality critical risk identified
DLV-012,Pareto Analysis — Water Work Order Delays,LSS - Measure,Water,Measure,Albert Ibe,2024-03-08,Completed,Albert Ibe,2024-03-08,/04-lean-six-sigma/measure/measurement-plan.md,Top 3 causes = 74.1% of delays
DLV-013,Pareto Analysis — MLS Repeat Violations,LSS - Measure,MLS,Measure,Albert Ibe,2024-03-08,Completed,Albert Ibe,2024-03-08,/04-lean-six-sigma/measure/measurement-plan.md,Top 2 causes = 72.7% of repeats
DLV-014,Value Stream Map — HR Reporting Current State,LSS - Measure,HR,Measure,Albert Ibe,2024-03-12,Completed,Albert Ibe,2024-03-12,/04-lean-six-sigma/measure/measurement-plan.md,95% NVA identified
DLV-015,Fishbone Diagram — Water Work Order Delays,LSS - Analyze,Water,Analyze,Albert Ibe,2024-04-15,Completed,Albert Ibe,2024-04-15,/04-lean-six-sigma/analyze/root-cause-analysis.md,6 cause categories mapped
DLV-016,Fishbone Diagram — MLS Repeat Violations,LSS - Analyze,MLS,Analyze,Albert Ibe,2024-04-15,Completed,Albert Ibe,2024-04-15,/04-lean-six-sigma/analyze/root-cause-analysis.md,
DLV-017,5-Why Analysis — SCADA-MAXIMO Disconnect,LSS - Analyze,Water,Analyze,Albert Ibe,2024-04-22,Completed,Albert Ibe,2024-04-22,/04-lean-six-sigma/analyze/root-cause-analysis.md,Root cause: No integration ever built
